Sensor: 2S_4289_SN10_smalledge
Date:6/21/2018 11:38:01.7830 AM
Step Size X and Y: 251.6130 and 194.6490
Step Number X and Y: 31 and 37
Calibration X and Y: 11.4500 and 10.8800
Angle: -0.006000
f/e: 55=fiducial, 33=edge
edge: 0=top, 1=left, 2=right, 3=bottom 

edge	filx	fily	pixx	pixy	psx	psy	f/e
3	10	37	266.714630	170.347458	65797	68562	55
3	11	37	73.966431	170.045181	65546	68564	55
3	11	37	249.688461	169.932556	65546	68564	55
3	11	37	161.821625	169.956757	65546	68564	55
3	12	37	143.707214	170.652481	65294	68565	55
3	12	37	231.427994	170.667297	65294	68565	55
3	12	37	55.899624	170.711914	65294	68565	55
3	13	37	213.277618	169.787216	65042	68567	55
3	13	37	125.454170	169.829346	65042	68567	55
3	13	37	301.197327	169.681961	65042	68567	55
3	13	37	37.686741	169.886749	65042	68567	55
3	14	37	108.676224	170.210373	64791	68568	55
3	14	37	20.942421	170.229446	64791	68568	55
3	15	37	297.261597	169.362854	64539	68570	55
3	16	37	16.761574	170.182907	64288	68571	55
3	17	37	205.223282	169.583496	64036	68573	55
3	17	37	293.220734	169.505600	64036	68573	55
3	18	37	99.321945	170.072754	63784	68574	55
3	18	37	187.208267	169.910583	63784	68574	55
3	18	37	11.656691	170.054810	63784	68574	55
3	18	37	275.122009	169.967987	63784	68574	55
3	19	37	82.373894	169.632019	63533	68576	55
3	19	37	258.073853	169.405579	63533	68576	55
3	19	37	170.200485	169.481812	63533	68576	55
3	20	37	64.924454	170.177338	63281	68577	55
3	20	37	152.733368	170.072556	63281	68577	55
3	20	37	240.592972	170.066895	63281	68577	55
3	21	37	135.840851	169.686218	63030	68579	55
3	21	37	223.689484	169.582031	63030	68579	55
3	21	37	48.034008	169.721497	63030	68579	55
3	22	37	117.788147	170.214111	62778	68580	55
3	22	37	205.656754	170.172089	62778	68580	55
3	22	37	293.618958	170.090576	62778	68580	55
3	22	37	29.989124	170.218704	62778	68580	55
3	23	37	99.918488	169.762970	62526	68582	55
3	23	37	187.721588	169.734558	62526	68582	55
3	23	37	12.199678	169.852158	62526	68582	55
3	23	37	275.659241	169.459610	62526	68582	55
3	24	37	83.032219	170.415909	62275	68583	55
3	24	37	170.820221	170.378906	62275	68583	55
3	24	37	258.816925	170.269608	62275	68583	55
3	25	37	65.391685	169.898788	62023	68585	55
3	25	37	153.231522	169.836334	62023	68585	55
3	25	37	241.092804	169.829376	62023	68585	55
3	26	37	136.436569	170.554169	61772	68586	55
3	26	37	224.348465	170.360397	61772	68586	55
3	26	37	48.689594	170.593246	61772	68586	55
3	27	37	30.755215	169.902832	61520	68588	55
3	27	37	118.475906	169.819382	61520	68588	55
3	27	37	206.315613	169.778275	61520	68588	55
3	27	37	294.295776	169.718948	61520	68588	55
3	28	37	188.635635	170.357941	61268	68589	55
3	28	37	100.848137	170.470795	61268	68589	55
3	28	37	276.580170	170.282211	61268	68589	55
3	28	37	13.075755	170.526901	61268	68589	55
3	29	37	259.614502	169.825012	61017	68591	55
3	29	37	171.730301	169.918076	61017	68591	55
3	29	37	83.946136	169.931519	61017	68591	55
3	30	37	153.807129	170.506363	60765	68592	55
3	30	37	66.048416	170.544037	60765	68592	55
3	31	37	177.105759	169.861130	60514	68594	55
3	31	37	227.198059	169.792908	60514	68594	55
3	31	37	275.157684	169.816254	60514	68594	55
0	0	0	8.000000	7.000000	68270	61345	33
3	31	31	312.000000	0.000000	60506	67426	33
3	0	32	7.000000	0.000000	68308	67574	33
3	31	32	313.000000	0.000000	60508	67621	33
3	0	33	7.000000	0.000000	68309	67768	33
3	31	33	312.000000	0.000000	60509	67815	33
3	0	34	6.000000	0.000000	68310	67963	33
0	10	0	0.000000	8.000000	65754	61360	33
3	31	34	311.000000	0.000000	60510	68010	33
3	0	35	6.000000	0.000000	68311	68158	33
3	31	35	311.000000	0.000000	60511	68205	33
3	0	36	6.000000	0.000000	68312	68352	33
3	31	36	311.000000	0.000000	60512	68399	33
3	0	37	6.000000	233.000000	68313	68547	33
3	1	37	0.000000	234.000000	68062	68548	33
3	2	37	0.000000	233.000000	67810	68550	33
3	3	37	0.000000	234.000000	67559	68551	33
3	4	37	0.000000	233.000000	67307	68553	33
3	5	37	0.000000	234.000000	67055	68554	33
3	6	37	0.000000	233.000000	66804	68556	33
3	7	37	0.000000	234.000000	66552	68557	33
3	8	37	0.000000	234.000000	66301	68559	33
3	9	37	0.000000	233.000000	66049	68561	33
3	10	37	0.000000	233.000000	65797	68562	33
3	11	37	0.000000	233.000000	65546	68564	33
3	12	37	0.000000	234.000000	65294	68565	33
3	13	37	0.000000	233.000000	65042	68567	33
3	14	37	0.000000	233.000000	64791	68568	33
3	15	37	0.000000	232.000000	64539	68570	33
0	11	0	0.000000	8.000000	65502	61362	33
3	16	37	0.000000	233.000000	64288	68571	33
3	17	37	0.000000	232.000000	64036	68573	33
3	18	37	0.000000	233.000000	63784	68574	33
3	19	37	0.000000	232.000000	63533	68576	33
3	20	37	0.000000	233.000000	63281	68577	33
3	21	37	0.000000	233.000000	63030	68579	33
3	22	37	0.000000	233.000000	62778	68580	33
3	23	37	0.000000	233.000000	62526	68582	33
3	24	37	0.000000	233.000000	62275	68583	33
3	25	37	0.000000	233.000000	62023	68585	33
3	26	37	0.000000	233.000000	61772	68586	33
3	27	37	0.000000	233.000000	61520	68588	33
3	28	37	0.000000	233.000000	61268	68589	33
3	29	37	0.000000	233.000000	61017	68591	33
3	30	37	0.000000	233.000000	60765	68592	33
3	31	37	312.000000	233.000000	60514	68594	33
2	31	3	313.000000	0.000000	60474	61976	33
1	0	4	8.000000	0.000000	68275	62124	33
0	12	0	0.000000	8.000000	65251	61363	33
0	13	0	0.000000	8.000000	64999	61365	33
0	14	0	0.000000	8.000000	64747	61366	33
2	31	4	313.000000	0.000000	60475	62171	33
0	15	0	0.000000	8.000000	64496	61368	33
